mesher exited
14:14:22 rss_kb=3850928
14:14:28 rss_kb=4154864
14:14:35 rss_kb=3761296
14:14:41 rss_kb=3821232
14:14:47 rss_kb=4426704
14:14:53 rss_kb=3893088
14:14:59 rss_kb=3730736
14:15:05 rss_kb=3672336
14:15:11 rss_kb=3798912
14:15:17 rss_kb=3622080
14:15:23 rss_kb=3912432
14:15:29 rss_kb=3665744
14:15:35 rss_kb=3546016
14:15:41 rss_kb=3770784
14:15:47 rss_kb=3585712
14:15:53 rss_kb=3658064
14:15:59 rss_kb=3981936
14:16:05 rss_kb=3479728
14:16:11 rss_kb=3497632
14:16:17 rss_kb=3498576
14:16:23 rss_kb=3956336
14:16:29 rss_kb=3912720
14:16:35 rss_kb=3717504
